,wavelength,amplitude
1219,881.757,3110
1220,881.824,3130
1221,881.891,3150
1222,881.958,3204
1223,882.025,3196
1224,882.093,3212
1225,882.16,3192
1226,882.227,3229
1227,882.294,3206
1228,882.361,3197
1229,882.428,3216
1230,882.495,3179
1231,882.562,3187
1232,882.629,3205
1233,882.696,3218
1234,882.763,3201
1235,882.83,3183
1236,882.897,3185
1237,882.964,3170
1238,883.032,3182
1239,883.099,3171
1240,883.166,3175
1241,883.233,3163
1242,883.3,3158
1243,883.367,3151
1244,883.434,3154
1245,883.501,3155
1246,883.568,3271
1247,883.635,3162
1248,883.702,3151
1249,883.769,3141
1250,883.836,3175
1251,883.903,3165
1252,883.97,3179
1253,884.038,3180
1254,884.105,3150
1255,884.172,3162
1256,884.239,3177
1257,884.306,3151
1258,884.373,3161
1259,884.44,3151
1260,884.507,3149
1261,884.574,3147
1262,884.641,3128
1263,884.708,3107
1264,884.775,3153
1265,884.842,3120
1266,884.909,3123
1267,884.977,3129
1268,885.044,3118
1269,885.111,3106
1270,885.178,3116
1271,885.245,3106
1272,885.312,3125
1273,885.379,3137
1274,885.446,3126
1275,885.513,3142
1276,885.58,3133
1277,885.647,3127
1278,885.714,3210
1279,885.781,3135
1280,885.848,3152
1281,885.915,3105
1282,885.983,3137
1283,886.05,3127
1284,886.117,3122
1285,886.184,3118
1286,886.251,3109
1287,886.318,3137
1288,886.385,3128
1289,886.452,3142
1290,886.519,3144
1291,886.586,3132
1292,886.653,3142
1293,886.72,3131
1294,886.787,3112
1295,886.854,3109
1296,886.922,3114
1297,886.989,3127
1298,887.056,3129
1299,887.123,3100
1300,887.19,3134
1301,887.257,3112
1302,887.324,3119
1303,887.391,3117
1304,887.458,3118
1305,887.525,3128
1306,887.592,3122
1307,887.659,3138
1308,887.726,3126
1309,887.793,3121
1310,887.86,3232
1311,887.928,3153
1312,887.995,3108
1313,888.062,3122
1314,888.129,3120
1315,888.196,3115
1316,888.263,3126
1317,888.33,3110
1318,888.397,3126
1319,888.464,3133
1320,888.531,3149
1321,888.598,3131
1322,888.665,3131
1323,888.732,3117
1324,888.799,3121
1325,888.867,3145
1326,888.934,3133
1327,889.001,3116
1328,889.068,3130
1329,889.135,3109
1330,889.202,3102
1331,889.269,3116
1332,889.336,3115
1333,889.403,3124
1334,889.47,3108
1335,889.537,3120
1336,889.604,3131
1337,889.671,3133
1338,889.738,3125
1339,889.805,3122
1340,889.873,3132
1341,889.94,3129
1342,890.007,3230
1343,890.074,3120
1344,890.141,3107
1345,890.208,3117
1346,890.275,3133
1347,890.342,3116
1348,890.409,3137
1349,890.476,3144
1350,890.543,3132
1351,890.61,3122
1352,890.677,3140
1353,890.744,3158
1354,890.812,3131
1355,890.879,3140
1356,890.946,3139
1357,891.013,3136
1358,891.08,3116
1359,891.147,3123
1360,891.214,3136
1361,891.281,3138
1362,891.348,3119
1363,891.415,3128
1364,891.482,3118
1365,891.549,3104
1366,891.616,3132
1367,891.683,3112
1368,891.751,3154
1369,891.818,3131
1370,891.885,3097
1371,891.952,3131
1372,892.019,3121
1373,892.086,3120
1374,892.153,3225
1375,892.22,3149
1376,892.287,3129
1377,892.354,3147
1378,892.421,3123
1379,892.488,3137
1380,892.555,3144
1381,892.622,3132
1382,892.689,3146
1383,892.757,3142
1384,892.824,3129
1385,892.891,3137
1386,892.958,3161
1387,893.025,3142
1388,893.092,3129
1389,893.159,3140
1390,893.226,3119
1391,893.293,3122
1392,893.36,3126
1393,893.427,3141
1394,893.494,3113
1395,893.561,3138
1396,893.628,3144
1397,893.696,3118
1398,893.763,3109
1399,893.83,3116
1400,893.897,3117
1401,893.964,3121
1402,894.031,3117
1403,894.098,3105
1404,894.165,3099
1405,894.232,3124
1406,894.299,3222
1407,894.366,3118
1408,894.433,3132
1409,894.5,3104
1410,894.567,3109
1411,894.634,3108
1412,894.702,3126
1413,894.769,3123
1414,894.836,3097
1415,894.903,3129
1416,894.97,3131
1417,895.037,3107
1418,895.104,3120
1419,895.171,3125
1420,895.238,3097
1421,895.305,3111
1422,895.372,3088
1423,895.439,3120
1424,895.506,3146
1425,895.573,3131
1426,895.641,3116
1427,895.708,3129
1428,895.775,3133
1429,895.842,3141
1430,895.909,3122
1431,895.976,3128
1432,896.043,3136
1433,896.11,3120
1434,896.177,3133
1435,896.244,3138
1436,896.311,3132
1437,896.378,3141
1438,896.445,3254
1439,896.512,3135
1440,896.579,3149
1441,896.647,3147
1442,896.714,3135
1443,896.781,3139
1444,896.848,3153
1445,896.915,3144
1446,896.982,3152
1447,897.049,3159
1448,897.116,3164
1449,897.183,3155
1450,897.25,3172
1451,897.317,3147
1452,897.384,3137
1453,897.451,3162
1454,897.518,3163
1455,897.586,3166
1456,897.653,3171
1457,897.72,3172
1458,897.787,3147
1459,897.854,3145
1460,897.921,3155
1461,897.988,3139
1462,898.055,3153
1463,898.122,3126
1464,898.189,3172
1465,898.256,3163
1466,898.323,3150
1467,898.39,3151
1468,898.457,3172
1469,898.524,3143
1470,898.592,3264
1471,898.659,3161
1472,898.726,3153
1473,898.793,3186
1474,898.86,3142
1475,898.927,3150
1476,898.994,3153
1477,899.061,3159
1478,899.128,3180
1479,899.195,3163
1480,899.262,3182
1481,899.329,3152
1482,899.396,3163
1483,899.463,3166
1484,899.531,3168
1485,899.598,3178
1486,899.665,3169
1487,899.732,3201
1488,899.799,3185
1489,899.866,3180
1490,899.933,3168
1491,900.0,3212
